Borough,Year,Price_Index
Barking & Dagenham,1995,23.54611434
Barking & Dagenham,1996,23.50077575
Barking & Dagenham,1997,25.43473617
Barking & Dagenham,1998,27.3939109
Barking & Dagenham,1999,29.68186923
Barking & Dagenham,2000,35.23854231
Barking & Dagenham,2001,40.28899776
Barking & Dagenham,2002,50.99369994
Barking & Dagenham,2003,64.75159268
Barking & Dagenham,2004,71.87525511
Barking & Dagenham,2005,74.23123093
Barking & Dagenham,2006,76.27265296
Barking & Dagenham,2007,84.02312014
Barking & Dagenham,2008,85.13506485
Barking & Dagenham,2009,71.08955741
Barking & Dagenham,2010,75.68527785
Barking & Dagenham,2011,74.27865318
Barking & Dagenham,2012,75.36865441
Barking & Dagenham,2013,78.94465657
Barking & Dagenham,2014,91.41277383
Barking & Dagenham,2015,106.084405
Barking & Dagenham,2016,124.4692421
Barking & Dagenham,2017,130.7468231
Barking & Dagenham,2018,134.132293
Barking & Dagenham,2019,135.5054809
Barking & Dagenham,2020,136.7001145
Barking & Dagenham,2021,140.4416667
Barking & Dagenham,2022,151.4916667
Barking & Dagenham,2023,153.525
Barking & Dagenham,2024,152.3444444
Barnet,1995,19.89510501
Barnet,1996,20.37364676
Barnet,1997,23.16585051
Barnet,1998,26.52017836
Barnet,1999,29.47760378
Barnet,2000,36.4020364
Barnet,2001,40.21898173
Barnet,2002,47.84447789
Barnet,2003,54.44786379
Barnet,2004,58.92163214
Barnet,2005,60.57005971
Barnet,2006,63.14452362
Barnet,2007,70.85563111
Barnet,2008,71.52921858
Barnet,2009,64.82755629
Barnet,2010,72.20214899
Barnet,2011,73.47005914
Barnet,2012,77.72885368
Barnet,2013,81.22774301
Barnet,2014,93.27690794
Barnet,2015,103.7507793
Barnet,2016,113.9921015
Barnet,2017,116.6669842
Barnet,2018,115.5692129
Barnet,2019,112.9850733
Barnet,2020,113.9525879
Barnet,2021,120.4583333
Barnet,2022,129.05
Barnet,2023,127.45
Barnet,2024,126.1777778
Bexley,1995,24.56206924
Bexley,1996,25.02009349
Bexley,1997,27.04453027
Bexley,1998,30.80482282
